@relation weka_TrainingData_driverHabit_park_df_clustered

@attribute Instance_number numeric
@attribute before numeric
@attribute after numeric
@attribute avg numeric
@attribute max numeric
@attribute distance numeric
@attribute second numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
96,24.3,0,-8.1,-12.6,10.75,4,cluster2
97,70.2,44.1,-5.22,-12.6,86.249999,6,cluster2
98,25.199999,0,-5.04,-12.6,22.249999,6,cluster4
99,12.599999,0,-12.599999,-12.599999,3.5,2,cluster2
100,34.2,0,-8.55,-12.599999,28,5,cluster2
101,56.699997,31.5,-6.299999,-12.599998,57.249999,5,cluster2
102,36.899998,0,-4.1,-12.599998,32.749998,10,cluster0
103,20.699999,0.9,-1.35,-12.599998,18.249999,3,cluster2
104,75.6,0,-4.447059,-12.599997,204.249996,18,cluster0
105,32.399998,0,-8.099999,-11.700001,24.499999,5,cluster2
106,51.3,0,-4.663636,-11.700001,92.749998,12,cluster0
107,47.699997,0,-5.3,-11.700001,58.499998,10,cluster0
108,35.099998,7.2,-4.65,-11.700001,38.499999,7,cluster4
109,53.099998,19.799999,-4.1625,-11.700001,97.499997,9,cluster0
110,27,10.799999,-8.1,-11.700001,16.75,3,cluster2
111,25.199999,0,-6.3,-11.7,20,5,cluster2
112,11.7,0,-11.7,-11.7,3.25,2,cluster2
113,45,33.3,-11.7,-11.7,21.75,2,cluster2
114,39.6,25.199999,-7.2,-11.7,25.75,3,cluster2
115,53.1,0,-6.6375,-11.7,56.75,9,cluster0
116,18.9,0,-6.3,-11.7,7.75,4,cluster5
117,63,0,-5.25,-11.7,111.25,13,cluster0
118,64.799995,2.7,-5.175,-11.7,157.249995,13,cluster0
119,25.199999,0,-3.15,-11.7,39.999999,9,cluster4
120,36.899998,25.199999,-11.699999,-11.699999,17.249999,2,cluster2
121,29.699999,9,-6.9,-11.699999,19,4,cluster2
122,46.8,21.599998,-6.300001,-11.699999,50.999999,5,cluster2
123,52.199997,6.3,-4.59,-11.699998,76.249997,11,cluster0
124,57.599998,0,-7.2,-11.699997,62.499998,9,cluster0
125,27,9.8,-1.8,-10.899999,22.722222,5,cluster4
126,53.099998,14.4,-6.45,-10.800001,66.749999,7,cluster0
127,68.400002,0,-4.275,-10.800001,191.499994,17,cluster0
128,55.799999,18,-4.2,-10.800001,100.749998,10,cluster0
129,42.3,13.5,-7.2,-10.800001,37.749999,5,cluster2
130,58.5,0,-5.85,-10.800001,103,11,cluster0
131,27.9,0,-5.58,-10.800001,22.749999,6,cluster4
132,67.5,8.099999,-5.4,-10.800001,121.249998,12,cluster0
133,36.899998,0,-5.271428,-10.800001,39.749999,8,cluster4
134,38.7,5.4,-4.1625,-10.800001,62.749998,9,cluster0
135,39.6,16.199999,-3.9,-10.800001,60.749999,7,cluster4
136,30.599998,0,-3.4,-10.800001,46.999998,10,cluster4
137,71.099998,0,-4.74,-10.8,179.499996,16,cluster0
138,10.8,0,-10.8,-10.8,3,2,cluster2
139,39.6,0,-6.6,-10.8,33.5,7,cluster0
140,53.1,27.9,-6.3,-10.8,59.749999,5,cluster2
141,81,0,-6.230769,-10.8,157.249998,14,cluster0
142,54.899998,0,-6.1,-10.8,66.499999,10,cluster0
143,36,0,-6,-10.8,28.5,7,cluster4
144,11.7,0,-5.85,-10.8,3.5,3,cluster5
145,49.5,20.699999,-5.76,-10.8,54.999999,6,cluster2
146,22.5,0,-5.625,-10.8,16,5,cluster4
147,55.8,0,-5.58,-10.8,97.749999,11,cluster0
148,15.3,0,-5.1,-10.8,6,4,cluster5
149,40.5,0,-5.0625,-10.8,45.249999,9,cluster0
150,47.699997,22.5,-5.039999,-10.8,63.499998,6,cluster2
151,28.8,4.5,-4.86,-10.8,27.999999,6,cluster4
152,39.6,21.599998,-4.5,-10.8,46.499999,5,cluster4
153,27.9,10.8,-4.275,-10.8,25,5,cluster4
154,63,0,-3.5,-10.8,169.749997,19,cluster0
155,44.1,0,-3.15,-10.8,84.499999,15,cluster0
156,59.4,10.8,-3.0375,-10.8,149,17,cluster0
157,39.6,4.5,-2.507143,-10.8,95.249999,15,cluster0
158,10.799999,0,-10.799999,-10.799999,3,2,cluster2
159,64.799995,37.799999,-5.399999,-10.799999,88.499997,6,cluster2
160,45,2.7,-5.2875,-10.799999,61.749998,9,cluster0
161,25.199999,0,-6.3,-10.799999,13.5,5,cluster4
162,57.6,0,-5.76,-10.799999,96.999999,11,cluster0
163,15.299999,0,-5.1,-10.799999,10.999999,4,cluster5
164,13.5,0,-4.5,-10.799999,10.249999,4,cluster5
165,17.1,0,-3.42,-10.799999,20.249999,6,cluster4
166,62.1,44,-4.5,-9.900003,58.694444,5,cluster2
167,56.699997,7.2,-2.75,-9.900003,155.499997,19,cluster0
168,31.5,20.699999,-5.4,-9.900002,20.499999,3,cluster4
169,45,13.5,-5.25,-9.900002,58.749999,7,cluster0
170,63,18,-4.5,-9.900002,135.249999,11,cluster0
171,52.199997,26.099998,-4.35,-9.900002,77.749997,7,cluster2
172,54,22.5,-3.9375,-9.900002,89.249999,9,cluster0
173,71.099998,5.4,-4.38,-9.900002,142.249996,16,cluster0
174,53.099998,18.9,-3.42,-9.900002,119.999997,11,cluster0
175,43.199997,20.699999,-7.499999,-9.900001,36.999999,4,cluster2
176,20.699999,0,-6.9,-9.900001,12.999999,4,cluster5
177,20.699999,7.2,-4.5,-9.900001,18,4,cluster4
178,54,0,-4.909091,-9.9,114.749997,12,cluster0
179,28.8,0,-7.2,-9.9,18.75,5,cluster2
180,21.599998,0,-7.199999,-9.9,12.749999,4,cluster2
181,46.8,0,-6.685714,-9.9,51.499999,8,cluster0
182,49.5,0,-6.1875,-9.9,65.5,9,cluster0
183,54.899998,0,-6.1,-9.9,86.249998,10,cluster0
184,45,6.3,-5.528571,-9.9,52.749999,8,cluster0
185,49.5,13.5,-5.142857,-9.9,69.749999,8,cluster0
186,14.4,0,-4.8,-9.9,5.5,4,cluster5
187,23.4,0,-4.68,-9.9,21.999999,6,cluster4
188,44.1,11.7,-4.628571,-9.9,62.249999,8,cluster0
189,35.1,0,-4.3875,-9.9,48.249999,9,cluster4
190,17.1,0,-4.275,-9.9,15.249999,5,cluster5
191,17.1,0.9,-4.275,-9.9,10.25,5,cluster5
192,45.9,33.3,-4.2,-9.9,41.5,4,cluster4
193,41.399998,0,-4.14,-9.9,73.499999,11,cluster0
194,45,6.3,-3.87,-9.9,79.249999,11,cluster0
195,65.7,0,-3.864706,-9.9,173.999997,18,cluster0
196,15.299999,0,-3.825,-9.9,13,5,cluster5
197,32.399998,0,-3.6,-9.9,36.749999,10,cluster4
198,46.8,0,-3.342857,-9.9,88.999998,15,cluster0
199,63.899998,7.2,-3.335294,-9.9,201.749998,18,cluster0
200,55.8,33.3,-3.214286,-9.9,98.249999,8,cluster6
201,34.2,0,-3.109091,-9.9,74.749999,12,cluster0
202,44.1,0,-2.94,-9.9,100.749997,16,cluster0
203,27,0.9,-2.9,-9.9,49.749999,10,cluster4
204,11.7,0,-1.8,-9.9,52.249999,4,cluster4
205,41.399998,0,-5.914285,-9.9,43.249999,8,cluster0
206,25.199999,0,-6.3,-9.9,16,5,cluster4
207,51.299999,0,-4.275,-9.9,106.499998,13,cluster0
208,15.299999,3.6,-3.9,-9.9,10.5,4,cluster5
209,26.099998,0,-3.728571,-9.9,20.499999,8,cluster4
210,32.399998,0,-5.4,-9.899999,31.499999,7,cluster4
211,25.199999,0.9,-4.86,-9.899999,18.999999,6,cluster4
212,50.399998,0,-4.581818,-9.899999,96.999998,12,cluster0
213,29.699999,0,-4.242857,-9.899999,28.999999,8,cluster4
214,30.599998,0,-4.371428,-9.899999,41.499998,8,cluster4
215,34.200001,5.4,-3.6,-9.899999,54.499999,9,cluster4
216,10.799999,0.9,-9.899999,-9.899999,3.25,2,cluster2
217,37.8,0,-5.4,-9.899999,37.499999,8,cluster4
218,21.599998,11.7,-9.899999,-9.899999,9.25,2,cluster2
219,49.5,12.599999,-5.271429,-9.899998,75.249998,8,cluster0
220,54.899998,28.8,-5.22,-9.899998,67.499999,6,cluster2
221,46.8,9,-3.78,-9.899998,98.749997,11,cluster0
222,52.199997,36,-5.399999,-9.899998,46.499998,4,cluster2
223,59.399998,41.399998,-4.5,-9.899997,68.499998,5,cluster2
224,46.8,19.8,-5.4,-9.000002,59.499999,6,cluster4
225,35.1,18.9,-2.7,-9.000002,47.749998,7,cluster4
226,34.2,25.199999,-9.000001,-9.000001,16.5,2,cluster2
227,38.7,0,-5.528571,-9.000001,43.249999,8,cluster4
228,44.1,0,-4.41,-9.000001,66.999998,11,cluster0
229,34.2,17.1,-4.275,-9.000001,31.999999,5,cluster4
230,16.199999,5.4,-5.4,-9,10,3,cluster5
231,27.9,0,-3.1,-9,46.749999,10,cluster4
232,9,0,-9,-9,2.5,2,cluster2
233,46.799999,37.799999,-9,-9,23.5,2,cluster2
234,18,9,-9,-9,7.5,2,cluster2
235,40.5,13.5,-6.75,-9,39.499999,5,cluster4
236,50.399998,9.9,-6.75,-9,62.249999,7,cluster0
237,63.899998,0,-6.39,-9,103.499998,11,cluster0
238,66.599998,48.599998,-6,-9,62.999999,4,cluster2
239,25.199999,13.5,-5.85,-9,15.249999,3,cluster4
240,18,7.2,-5.4,-9,9.5,3,cluster5
241,61.199997,28.8,-5.399999,-9,87.999999,7,cluster2
242,77.4,3.6,-5.271429,-9,207.249999,15,cluster0
243,60.3,0,-5.025,-9,137.749997,13,cluster0
244,64.799995,0,-4.984615,-9,145.999996,14,cluster0
245,9.9,0,-4.95,-9,3,3,cluster5
246,36,11.7,-4.86,-9,43,6,cluster4
247,22.5,8.1,-4.8,-9,15,4,cluster4
248,14.4,0,-4.8,-9,9.5,4,cluster5
249,45,17.1,-4.65,-9,61.249998,7,cluster4
250,59.399998,27,-4.628571,-9,97.499998,8,cluster6
251,47.699997,0,-4.336363,-9,92.749997,12,cluster0
252,34.2,12.599999,-4.32,-9,39,6,cluster4
253,55.8,0,-4.292308,-9,99.249998,14,cluster0
254,51.3,0,-4.275,-9,92.499998,13,cluster0
255,45,15.299999,-4.242857,-9,62.249997,8,cluster4
256,12.599999,0,-4.2,-9,9.25,4,cluster5
257,39.6,23.4,-4.05,-9,40.5,5,cluster4
258,44.1,11.7,-4.05,-9,64.249999,9,cluster0
259,42.3,9.9,-4.05,-9,68.749999,9,cluster0
260,34.2,1.8,-4.05,-9,41.249999,9,cluster4
261,32.399998,0,-4.05,-9,45.999998,9,cluster4
262,62.099998,2.7,-3.96,-9,162.749996,16,cluster0
263,29.699999,9.9,-3.96,-9,27.499999,6,cluster4
264,50.399998,5.4,-3.75,-9,104.499996,13,cluster0
265,33.3,0,-3.7,-9,39.499999,10,cluster4
266,10.799999,0,-3.6,-9,8.25,4,cluster5
267,35.099998,0,-3.51,-9,50.999998,11,cluster0
268,61.199997,32.399998,-3.2,-9,138.999997,10,cluster6
269,54.899998,0,-3.05,-9,156.499997,19,cluster0
270,50.399998,30.599998,-2.828571,-9,92.249998,8,cluster6
271,36.899998,14.4,-2.8125,-9,76.749999,9,cluster4
272,52.199997,27,-2.8,-9,99.249998,10,cluster6
273,49.5,1.8,-4.336364,-9,86.749997,12,cluster0
274,32.399998,0,-4.05,-8.999999,45.499998,9,cluster4
275,27.9,0,-3.4875,-8.999999,41.249999,9,cluster4
276,25.199999,6.3,-2.3625,-8.999999,48.999999,9,cluster4
277,14.4,0,-2.88,-8.999999,14.75,6,cluster5
278,35.1,0,-5.85,-8.999999,31,7,cluster4
279,21.599998,0,-5.399999,-8.999999,11.499999,5,cluster5
280,48.6,7.2,-5.175,-8.999999,79.499999,9,cluster0
281,21.599998,11.7,-4.949999,-8.999999,14.999999,3,cluster4
282,55.8,0,-4.65,-8.999999,106.499997,13,cluster0
283,63,0,-4.2,-8.999999,153.999999,16,cluster0
284,16.199999,0.9,-3.825,-8.999999,13.499999,5,cluster5
285,21.599998,2.7,-3.78,-8.999999,19.999999,6,cluster4
286,18.9,0,-3.15,-8.999999,13.5,7,cluster4
287,15.299999,3.6,-2.925,-8.999999,16.499999,5,cluster5
288,44.1,0,-1.8,-8.999999,114.499996,3,cluster0
289,35.099998,9.9,-5.04,-8.999998,36.749998,6,cluster4
290,26.099998,17.1,-8.999998,-8.999998,11.999999,2,cluster2
291,53.1,0,-4.827273,-8.999998,87.749999,12,cluster0
292,40.5,24.3,-4.05,-8.999998,42.999999,5,cluster4
293,51.3,0,-5.13,-8.999997,72.249999,11,cluster0
