@relation weka_test_park_clustered

@attribute Instance_number numeric
@attribute before numeric
@attribute after numeric
@attribute avg numeric
@attribute max numeric
@attribute dis numeric
@attribute sec numeric
@attribute cle numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
58,53.099998,19.799999,-4.1625,-11.700001,97.499997,9,22.678571,cluster3
59,22.5,9,-6.75,-11.700001,11.75,3,10.079365,cluster4
60,11.7,0,-11.7,-11.7,3.25,2,16.710526,cluster4
61,53.1,0,-6.6375,-11.7,56.75,9,7.743902,cluster4
62,53.1,11.7,-5.175,-11.7,102.25,9,18.142857,cluster3
63,53.1,0,-6.6375,-11.7,56.75,9,8.943662,cluster4
64,11.7,0,-11.7,-11.7,3.25,2,11.140351,cluster4
65,46.8,0,-5.85,-11.699999,63.249998,9,21.166667,cluster3
66,52.199997,6.3,-4.59,-11.699998,76.249997,11,8.141026,cluster0
67,53.099998,14.4,-6.45,-10.800001,66.749999,7,14.431818,cluster4
68,53.099998,14.4,-6.45,-10.800001,66.749999,7,10.583333,cluster4
69,58.5,0,-5.85,-10.800001,103,11,7.9375,cluster0
70,46.8,0,-5.2,-10.800001,63.249999,10,10.409836,cluster4
71,10.8,0,-10.8,-10.8,3,2,8.466667,cluster4
72,81,0,-6.230769,-10.8,157.249998,14,7.470588,cluster0
73,11.7,0,-5.85,-10.8,3.5,3,21.896552,cluster3
74,28.8,4.5,-4.86,-10.8,27.999999,6,25.4,cluster3
75,39.6,21.599998,-4.5,-10.8,46.499999,5,11.545455,cluster1
76,39.6,4.5,-2.507143,-10.8,95.249999,15,35.277778,cluster3
77,53.1,0,-6.6375,-10.8,70.249999,9,24.423077,cluster3
78,64.799995,37.799999,-5.399999,-10.799999,88.499997,6,33.421053,cluster3
79,12.599999,1.8,-10.799999,-10.799999,4,2,13.229167,cluster4
80,62.1,44,-4.5,-9.900003,58.694444,5,8.581081,cluster1
81,45,13.5,-5.25,-9.900002,58.749999,7,11.339286,cluster4
82,54,22.5,-3.9375,-9.900002,89.249999,9,20.483871,cluster3
83,53.099998,18.9,-3.42,-9.900002,119.999997,11,8.69863,cluster1
84,54,5.4,-6.942857,-9.900001,59.5,8,19.84375,cluster3
85,45.899998,0,-5.1,-9.900001,59.999998,10,17.638889,cluster3
86,28.8,0,-7.2,-9.9,18.75,5,7.650602,cluster4
87,30.599998,10.799999,-6.6,-9.9,22.249999,4,11.759259,cluster4
88,10.799999,0,-5.399999,-9.9,5.75,3,15.487805,cluster4
89,63.9,0,-4.915385,-9.9,119.75,14,8.355263,cluster0
90,44.1,11.7,-4.628571,-9.9,62.249999,8,13.804348,cluster4
91,45,6.3,-3.87,-9.9,79.249999,11,23.518519,cluster3
92,32.399998,0,-3.6,-9.9,36.749999,10,27.608696,cluster3
93,63.899998,7.2,-3.335294,-9.9,201.749998,18,7.383721,cluster0
94,44.1,0,-2.94,-9.9,100.749997,16,17.162162,cluster0
95,26.099998,0,-3.728571,-9.9,20.499999,8,26.458333,cluster3
96,50.399998,0,-4.581818,-9.899999,96.999998,12,7.839506,cluster0
97,10.799999,0.9,-9.899999,-9.899999,3.25,2,14.767442,cluster4
98,49.5,12.599999,-5.271429,-9.899998,75.249998,8,28.863636,cluster3
99,59.399998,41.399998,-4.5,-9.899997,68.499998,5,8.246753,cluster1
100,38.7,0,-5.528571,-9.000001,43.249999,8,8.037975,cluster4
101,34.2,17.1,-4.275,-9.000001,31.999999,5,16.282051,cluster4
102,56.699997,17.1,-2.413636,-9.000001,241.999994,23,7.559524,cluster0
103,27.9,0,-3.1,-9,46.749999,10,12.211538,cluster4
104,50.399998,9.9,-6.75,-9,62.249999,7,15.875,cluster4
105,54,42.3,-5.85,-9,39.25,3,9.769231,cluster1
106,18,7.2,-5.4,-9,9.5,3,9.338235,cluster4
107,60.3,0,-5.025,-9,137.749997,13,8.246753,cluster0
108,44.099998,0,-4.9,-9,59.999997,10,9.202899,cluster0
109,63,0,-4.5,-9,163.999998,15,33.421053,cluster3
110,24.3,2.7,-4.32,-9,24.5,6,35.277778,cluster3
111,51.3,0,-4.275,-9,92.499998,13,18.142857,cluster0
112,20.7,0,-4.14,-9,21,6,11.545455,cluster4
113,42.3,9.9,-4.05,-9,68.749999,9,22.678571,cluster3
114,62.099998,2.7,-3.96,-9,162.749996,16,17.638889,cluster0
115,45.899998,2.7,-3.6,-9,101.999996,13,8.581081,cluster0
116,27.9,0,-3.4875,-9,26.999999,9,15.119048,cluster4
117,61.199997,32.399998,-3.2,-9,138.999997,10,16.282051,cluster1
118,70.199997,38.700001,-2.863636,-9,191.249996,12,19.242424,cluster1
119,23.4,7.2,-2.7,-9,28.499999,7,21.166667,cluster3
120,63.899998,0,-6.39,-9,103.499998,11,14.431818,cluster0
121,25.199999,6.3,-2.3625,-8.999999,48.999999,9,12.45098,cluster4
