@relation weka_TestData_driverHabit_clustered

@attribute Instance_number numeric
@attribute before numeric
@attribute after numeric
@attribute avg numeric
@attribute max numeric
@attribute distance numeric
@attribute second numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
95,41.399998,0.9,-6.75,-12.6,49.749999,7,cluster2
96,22.5,9.9,-12.6,-12.6,9,2,cluster2
97,45,0,-9,-12.6,39.25,6,cluster2
98,40.5,19.8,-6.9,-12.6,30.75,4,cluster2
99,28.8,1.8,-6.75,-12.6,23.249999,5,cluster2
100,37.8,0,-6.3,-12.6,31.75,7,cluster2
101,27.9,0,-5.58,-12.599999,24.749999,6,cluster2
102,18.9,0,-6.3,-12.599999,13.75,4,cluster2
103,15.299999,0,-5.1,-12.599999,11.749999,4,cluster0
104,52.199997,36,-8.099998,-12.599998,37.999999,3,cluster2
105,35.099998,14.4,-6.9,-12.599998,24.249999,4,cluster2
106,30.599998,9.9,-10.349999,-12.599998,16.249999,3,cluster2
107,19.27052,0,-9.63526,-12.219902,7.311427,3,cluster2
108,56.30406,18.113012,-3.819105,-12.088665,128.472328,11,cluster3
109,54.622414,20.307133,-8.57882,-12.047222,51.072834,5,cluster2
110,25.199999,8.9,-1.8,-11.799999,20.972222,6,cluster3
111,11.736733,0,-11.736733,-11.736733,3.260204,2,cluster2
112,54.899998,13.5,-8.28,-11.700002,58.749998,6,cluster2
113,62.1,46.8,-7.65,-11.700002,44.249999,3,cluster2
114,55.8,3.6,-3.070588,-11.700002,146.499996,18,cluster3
115,22.5,9,-6.75,-11.700001,11.75,3,cluster2
116,46.8,0,-7.8,-11.7,45.75,7,cluster2
117,34.2,2.7,-5.25,-11.7,32.749999,7,cluster3
118,53.1,11.7,-5.175,-11.7,102.25,9,cluster3
119,44.1,11.7,-4.05,-11.7,58.75,9,cluster3
120,11.7,0,-11.7,-11.7,3.25,2,cluster2
121,46.8,0,-5.85,-11.699999,63.249998,9,cluster3
122,16.199999,0,-5.4,-11.699999,6.25,4,cluster0
123,22.5,0.9,-3.6,-11.699999,21.749999,7,cluster3
124,54,2.7,-2.7,-11.699999,163.249995,21,cluster3
125,35.202538,0,-3.520254,-10.814586,65.250975,11,cluster3
126,63,38.700001,-3.471428,-10.800003,101.749998,8,cluster3
127,46.8,0,-5.2,-10.800001,63.249999,10,cluster3
128,45.899998,0,-5.1,-10.800001,66.999999,10,cluster3
129,37.8,11.7,-4.35,-10.800001,45.249999,7,cluster3
130,33.299999,11.7,-3.085714,-10.8,56.249998,8,cluster3
131,53.1,0,-6.6375,-10.8,70.249999,9,cluster3
132,29.699999,0,-5.94,-10.8,24.5,6,cluster3
133,31.5,0,-5.25,-10.8,29.75,7,cluster3
134,20.699999,6.3,-4.8,-10.8,14.5,4,cluster0
135,70.2,0,-4.68,-10.8,170.499995,16,cluster3
136,49.5,21.599998,-4.65,-10.8,71.499999,7,cluster3
137,31.5,9,-4.5,-10.8,39.5,6,cluster3
138,49.5,30.599998,-3.15,-10.8,83.999999,7,cluster3
139,47.7,23.4,-2.7,-10.8,105.25,10,cluster3
140,23.4,4.5,-6.3,-10.799999,13.75,4,cluster0
141,12.599999,0,-6.3,-10.799999,6.5,3,cluster0
142,37.799999,0,-4.725,-10.799999,41.749999,9,cluster3
143,54.899998,0,-3.921428,-10.799999,104.749998,15,cluster3
144,12.599999,1.8,-10.799999,-10.799999,4,2,cluster2
145,36.899998,2.7,-4.275,-10.799999,58.749998,9,cluster3
146,13.5,0.9,-4.2,-10.799999,8,4,cluster0
147,11.372721,0,-5.686361,-10.669643,6.122879,3,cluster0
148,13.190325,0,-1.465592,-10.625371,30.497417,10,cluster3
149,26.378181,0,-6.594545,-10.528163,20.1197,5,cluster2
150,10.485276,0,-3.495092,-10.430183,8.717366,4,cluster0
151,51.092594,17.683558,-4.772719,-10.335652,88.384024,8,cluster3
152,58.389683,48.097145,-10.292538,-10.292538,29.579674,2,cluster2
153,43.384808,23.547411,-3.306233,-10.24812,67.459606,7,cluster3
154,12.336471,0,-2.056078,-10.087855,9.355253,7,cluster0
155,33.211414,0,-4.151427,-10.081955,49.213173,9,cluster3
156,45,15.299999,-7.425,-9.900002,41.499999,5,cluster2
157,45.899998,13.5,-4.628571,-9.900002,67.749999,8,cluster3
158,44.1,32.399998,-3.900001,-9.900002,44.999999,4,cluster3
159,67.5,34.200001,-3.7,-9.900002,148.749996,10,cluster3
160,54,5.4,-6.942857,-9.900001,59.5,8,cluster3
161,22.5,4.5,-6,-9.900001,12.75,4,cluster0
162,49.5,0,-4.95,-9.900001,81.249998,11,cluster3
163,63,0.9,-3.88125,-9.900001,181.499996,17,cluster3
