44,5,-10,-32,21,5,11,1
113,49,-16,-32,96,5,9,1
84,0,-14,-30,90,7,9,1
36,1,-9,-29,20,5,13,1
47,8,-13,-29,23,4,9,1
62,21,-8,-27,54,6,5,1
27,1,-26,-26,8,2,10,1
92,66,-26,-26,44,2,7,1
24,0,-24,-24,7,2,11,1
35,0,-18,-24,13,3,6,1
58,28,-15,-24,38,3,21,1
33,0,-8,-23,30,5,8,1
92,54,-9,-22,93,5,14,1
41,0,-8,-21,25,6,11,1
66,44,-11,-20,43,3,18,1
52,26,-5,-19,75,6,7,1
53,32,-10,-19,33,3,15,1
46,27,-9,-18,33,3,9,1
50,3,-6,-18,88,9,13,1
40,7,-5,-17,33,6,4,1
40,5,-9,-17,25,5,29,1
54,0,-7,-17,76,9,25,1
25,8,-17,-17,9,2,14,1
28,3,-3,-16,31,7,4,1
47,5,-8,-16,37,6,13,1
57,0,-9,-16,44,7,19,1
57,0,-8,-16,57,8,6,1
53,1,-3,-15,100,15,5,1
28,0,-7,-15,13,5,6,1
54,7,-9,-15,51,6,5,1
59,25,-7,-15,67,6,4,1
32,0,-5,-15,40,8,19,1
71,56,-15,-15,35,2,20,1
45,1,-3,-15,62,12,9,1
45,0,-8,-14,34,7,19,1
56,0,-6,-14,104,11,8,1
23,3,-7,-14,10,4,4,1
28,0,-7,-14,13,5,18,1
40,0,-5,-14,38,9,10,1
28,0,-7,-14,13,5,6,1
43,1,-4,-14,44,10,8,1
28,6,-11,-14,13,3,5,1
47,5,-7,-14,48,7,24,1
41,0,-5,-14,53,9,9,1
47,5,-7,-14,48,7,11,1
46,0,-4,-13,104,13,11,1
44,14,-4,-13,68,8,9,1
26,3,-5,-13,19,6,16,1
29,0,-4,-13,22,8,29,1
45,0,-9,-13,39,6,10,1
29,2,-7,-13,23,5,12,1
41,20,-7,-13,31,4,32,1
29,2,-7,-13,23,5,15,1
28,0,-6,-13,25,6,8,1
15,0,-5,-13,12,4,9,1
31,10,-10,-13,16,3,19,1
25,9,-2,-12,21,6,10,1
32,0,-8,-12,24,5,12,1
53,20,-4,-12,97,9,23,1
23,9,-7,-12,12,3,10,1
12,0,-12,-12,3,2,17,1
53,0,-7,-12,57,9,8,1
53,12,-5,-12,102,9,18,1
53,0,-7,-12,57,9,9,1
12,0,-12,-12,3,2,11,1
47,0,-6,-12,63,9,21,1
52,6,-5,-12,76,11,8,1
53,14,-6,-11,67,7,14,1
53,14,-6,-11,67,7,11,1
59,0,-6,-11,103,11,8,1
47,0,-5,-11,63,10,10,1
11,0,-11,-11,3,2,8,1
81,0,-6,-11,157,14,7,1
12,0,-6,-11,4,3,22,1
29,5,-5,-11,28,6,25,1
40,22,-5,-11,46,5,12,1
40,5,-3,-11,95,15,35,1
53,0,-7,-11,70,9,24,1
65,38,-5,-11,88,6,33,1
13,2,-11,-11,4,2,13,1
62,44,-5,-10,59,5,9,1
45,14,-5,-10,59,7,11,1
54,23,-4,-10,89,9,20,1
53,19,-3,-10,120,11,9,1
54,5,-7,-10,59,8,20,1
46,0,-5,-10,60,10,18,1
29,0,-7,-10,19,5,8,1
31,11,-7,-10,22,4,12,1
11,0,-5,-10,6,3,15,1
64,0,-5,-10,120,14,8,1
44,12,-5,-10,62,8,14,1
45,6,-4,-10,79,11,24,1
32,0,-4,-10,37,10,28,1
64,7,-3,-10,202,18,7,1
44,0,-3,-10,101,16,17,1
26,0,-4,-10,20,8,26,1
50,0,-5,-10,97,12,8,1
11,1,-10,-10,3,2,15,1
50,13,-5,-10,75,8,29,1
59,41,-5,-10,68,5,8,1
39,0,-6,-9,43,8,8,1
34,17,-4,-9,32,5,16,1
57,17,-2,-9,242,23,8,1
28,0,-3,-9,47,10,12,1
50,10,-7,-9,62,7,16,1
54,42,-6,-9,39,3,10,1
18,7,-5,-9,10,3,9,1
60,0,-5,-9,138,13,8,1
44,0,-5,-9,60,10,9,1
63,0,-5,-9,164,15,33,1
24,3,-4,-9,24,6,35,1
51,0,-4,-9,92,13,18,1
21,0,-4,-9,21,6,12,1
42,10,-4,-9,69,9,23,1
62,3,-4,-9,163,16,18,1
46,3,-4,-9,102,13,9,1
28,0,-3,-9,27,9,15,1
61,32,-3,-9,139,10,16,1
70,39,-3,-9,191,12,19,1
23,7,-3,-9,28,7,21,1
64,0,-6,-9,103,11,14,1
25,6,-2,-9,49,9,12,1
35,0,-6,-9,31,7,25,1
22,12,-5,-9,15,3,14,1
63,0,-4,-9,154,16,12,1
26,17,-9,-9,12,2,19,1
41,24,-4,-9,43,5,26,1
43,28,-5,-8,40,4,8,1
57,32,-5,-8,79,6,30,1
41,21,-4,-8,46,6,8,1
49,15,-3,-8,127,13,17,1
43,0,-5,-8,56,9,13,1
59,10,-5,-8,110,11,8,1
35,16,-4,-8,42,6,10,1
41,20,-3,-8,59,7,22,1
20,5,-7,-8,11,3,10,1
43,20,-5,-7,52,6,20,1
81,35,-2,-6,364,26,32,1
68,51,-4,-6,81,5,8,1
46,0,-4,-6,90,13,10,1
69,39,-4,-6,142,9,12,1
41,21,-3,-6,66,8,11,1
63,57,-6,-6,33,2,28,1
50,43,-6,-6,26,2,13,1
23,2,-5,-8,18,5,7,1
53,23,-5,-8,80,7,9,1
51,24,-5,-8,72,7,8,1
58,23,-4,-8,91,9,24,1
30,0,-4,-8,30,8,14,1
41,0,-4,-8,74,11,33,1
58,0,-4,-8,144,16,17,1
37,0,-4,-8,43,11,15,1
19,5,-4,-8,20,5,12,1
64,2,-3,-8,197,19,9,1
28,12,-3,-8,36,6,9,1
20,5,-3,-8,18,7,17,1
40,20,-7,-8,32,4,7,1
24,0,-4,-8,25,7,9,1
50,0,-3,-8,134,16,17,1
9,0,-5,-8,5,3,13,1
8,0,-8,-8,2,2,8,1
16,5,-4,-8,13,4,10,1
14,3,-3,-8,13,5,22,1
48,0,-3,-8,154,19,10,1
35,22,-5,-8,29,4,20,1
69,61,-8,-8,36,2,32,1
57,0,-4,-8,119,15,8,1
41,0,-5,-7,55,9,10,1
71,62,-5,-7,55,3,12,1
49,0,-4,-7,79,13,11,1
61,2,-3,-7,191,20,28,1
43,0,-3,-7,100,17,13,1
60,0,-5,-7,114,13,7,1
38,0,-4,-7,64,11,9,1
68,8,-3,-7,230,22,8,1
33,26,-7,-7,16,2,24,1
10,0,-5,-7,3,3,14,1
13,2,-3,-7,11,5,33,1
14,7,-7,-7,6,2,17,1
50,6,-5,-7,79,10,16,1
32,18,-5,-7,26,4,10,1
58,0,-4,-7,70,14,8,1
44,27,-4,-7,47,5,8,1
50,0,-4,-7,100,13,11,1
36,0,-4,-7,51,10,11,1
53,41,-4,-7,53,4,9,1
52,37,-4,-7,64,5,12,1
53,14,-4,-7,104,12,12,1
58,1,-4,-7,163,17,8,1
65,34,-3,-7,140,10,13,1
67,44,-5,-6,92,6,9,1
52,38,-4,-6,62,5,10,1
29,11,-5,-6,29,5,7,1
37,0,-4,-6,44,10,14,1
48,0,-4,-6,85,13,15,1
44,0,-3,-6,87,14,8,1
55,0,-3,-6,131,19,10,1
30,5,-2,-6,56,13,10,1
38,22,-3,-6,64,7,14,1
58,3,-4,-6,115,14,11,1
