41,1,-10,-32,43,5,14,1
53,13,-14,-32,44,4,11,1
44,5,-10,-32,21,5,18,1
113,49,-16,-32,96,5,19,1
84,0,-14,-30,90,7,10,1
36,1,-9,-29,20,5,15,1
29,0,-29,-29,8,2,12,1
47,8,-13,-29,23,4,18,1
29,0,-3,-29,72,10,13,1
27,1,-26,-26,8,2,16,1
92,66,-26,-26,44,2,20,1
24,0,-24,-24,7,2,10,1
35,0,-18,-24,13,3,19,1
58,28,-15,-24,38,3,16,1
24,1,-23,-23,7,2,14,1
55,0,-14,-23,33,5,13,1
33,0,-8,-23,30,5,17,1
60,39,-22,-22,28,2,15,1
23,3,-20,-20,7,2,15,1
29,4,-4,-19,22,4,17,1
19,0,-19,-19,5,2,12,1
23,0,-11,-18,8,3,11,1
24,6,-18,-18,8,2,14,1
22,0,-7,-18,7,4,15,1
28,0,-7,-15,13,5,17,1
59,25,-15,-15,67,6,13,1
59,0,-5,-15,151,14,16,1
49,0,-8,-15,38,7,3,1
56,0,-9,-15,44,7,4,1
22,4,-4,-15,10,5,5,1
53,1,-3,-15,100,15,3,1
28,0,-6,-15,13,5,3,1
59,0,-5,-15,151,14,4,1
32,0,-5,-15,40,8,5,1
39,0,-5,-15,46,9,3,1
45,1,-3,-15,52,12,3,1
56,11,-8,-14,56,7,4,1
46,0,-6,-14,43,9,5,1
56,0,-9,-14,55,7,3,1
38,0,-5,-14,29,7,3,1
64,0,-5,-30,161,13,13,1
29,0,-3,-28,72,10,14,1
68,0,-4,-28,224,19,16,1
29,0,-5,-27,48,7,11,1
46,0,-9,-27,47,6,13,1
43,0,-4,-25,96,12,9,1
31,0,-2,-25,102,14,8,1
29,0,-3,-24,69,10,18,1
32,0,-5,-24,46,7,12,1
47,0,-5,-24,87,11,15,1
31,0,-2,-24,123,17,9,1
49,0,-6,-22,81,9,19,1
40,0,-3,-21,109,14,7,1
45,0,-6,-21,62,8,11,1
27,0,-2,-19,71,12,8,1
21,0,-3,-18,42,9,18,1
56,0,-5,-18,126,13,20,1
22,0,-4,-17,34,7,5,1
28,0,-6,-17,26,6,11,1
61,0,-6,-15,117,12,9,1
54,0,-4,-13,130,15,8,1
35,0,-4,-11,65,11,9,1
46,0,-3,-10,129,15,8,1
54,23,-4,-10,89,9,15,2
68,0,-5,-10,169,15,15,2
66,0,-4,-10,174,18,14,2
26,0,-4,-10,20,8,16,2
57,17,-2,-9,242,23,19,2
77,0,-6,-9,154,14,15,2
59,27,-5,-9,97,8,20,2
11,0,-4,-9,8,4,12,2
14,0,-5,-9,7,4,18,2
67,0,-6,-9,100,12,11,2
35,16,-4,-8,42,6,16,2
48,14,-3,-8,113,12,13,2
37,23,-5,-8,32,4,10,2
52,0,-4,-8,102,13,19,2
47,16,-3,-8,102,11,15,2
9,0,-5,-8,5,3,17,2
25,1,-5,-8,20,6,17,2
75,50,-4,-7,127,7,17,2
43,16,-4,-7,59,7,13,2
55,41,-3,-7,83,6,18,2
10,0,-5,-7,3,3,16,2
23,0,-5,-7,18,6,13,2
38,3,-4,-7,68,11,11,2
65,34,-3,-7,140,10,14,2
53,0,-3,-7,130,19,12,2
24,14,-5,-7,15,3,14,2
67,44,-5,-6,92,6,10,2
50,4,-4,-6,92,13,14,2
42,0,-3,-6,82,16,16,2
50,0,-3,-6,121,16,16,2
23,2,-4,-6,21,7,14,2
53,0,-3,-6,143,17,14,2
23,13,-3,-6,19,4,12,2
10,0,-3,-6,7,4,17,2
56,40,-4,-6,66,5,13,2
40,5,-3,-6,84,13,15,2
35,0,-4,-6,50,11,12,2
16,5,-3,-6,13,5,18,2
50,43,-2,-5,53,4,11,2
42,34,-3,-5,41,4,15,2
40,21,-2,-5,92,11,19,2
18,0,-3,-5,16,7,17,2
43,6,-4,-5,75,11,11,2
25,0,-4,-5,28,8,10,2
22,2,-3,-5,26,7,18,2
11,5,-3,-5,7,3,13,2
41,31,-3,-5,49,5,15,2
20,0,-3,-5,22,7,10,2
13,0,-3,-5,11,6,17,2
6,0,-3,-5,3,3,13,2
8,0,-4,-5,3,3,15,2
34,21,-3,-5,39,5,19,2
40,30,-2,-5,57,6,16,2
20,6,-3,-5,23,6,20,2
39,34,-5,-5,20,2,13,2
59,55,-5,-5,32,2,18,2
49,41,-4,-5,37,3,11,2
43,32,-3,-5,52,5,17,2
15,7,-3,-5,13,4,12,2
43,22,-3,-5,81,9,16,2
5,0,-3,-5,3,3,15,2
8,0,-3,-5,5,4,18,2
64,50,-2,-5,109,7,14,2
72,60,-2,-5,108,6,15,2
50,25,-2,-5,141,13,12,2
16,8,-2,-5,18,5,17,2
27,14,-2,-5,45,8,16,2
6,1,-3,-4,2,3,14,2
9,0,-3,-4,6,4,13,2
13,9,-2,-4,10,3,19,2
44,23,-2,-4,90,10,15,2
51,48,-4,-4,27,2,10,2
59,55,-4,-4,31,2,15,2
68,28,-3,-4,267,19,19,2
36,32,-2,-4,28,3,20,2
20,16,-4,-4,10,2,11,2
29,21,-2,-4,34,5,13,2
18,0,-2,-4,25,11,17,2
17,14,-4,-4,9,2,16,2
4,0,-4,-4,1,2,10,2
46,41,-3,-4,36,3,14,2
46,36,-2,-4,55,5,12,2
5,0,-2,-4,2,3,15,2
47,23,-2,-4,115,12,14,2
41,33,-2,-4,52,5,16,2
23,11,-2,-4,35,8,20,2
14,6,-2,-4,13,5,15,2
13,7,-3,-4,8,3,12,2
50,47,-4,-4,27,2,19,2
66,48,-2,-4,174,11,17,2
22,18,-4,-4,11,2,14,2
54,50,-2,-3,44,3,17,2
25,22,-2,-3,20,3,17,2
58,45,-1,-3,145,10,14,2
61,57,-2,-3,49,3,13,2
28,19,-2,-3,46,7,18,2
38,32,-2,-3,39,4,16,2
25,17,-2,-3,28,5,11,2
36,32,-2,-3,28,3,13,2
19,15,-2,-3,14,3,10,2
6,1,-2,-3,4,4,13,2
17,14,-3,-3,9,2,16,2
22,16,-3,-3,16,3,11,2
36,33,-3,-3,19,2,15,2
42,40,-3,-3,23,2,19,2
10,6,-2,-3,6,3,10,2
21,17,-2,-3,16,3,18,2
56,48,-2,-3,86,6,15,2
12,5,-2,-3,11,5,13,2
59,47,-2,-3,134,9,18,2
11,7,-2,-3,7,3,16,2
6,4,-3,-3,3,2,11,2
3,0,-3,-3,1,2,13,2
7,0,-1,-3,6,6,10,2
16,14,-3,-3,8,2,13,2
26,17,-1,-3,42,7,16,2
23,15,-1,-3,37,7,19,2
31,28,-3,-3,16,2,10,2
57,52,-2,-3,45,3,14,2
53,50,-2,-3,43,3,17,2
66,1,-3,-15,163,20,32,2
44,10,-7,-15,45,6,26,2
59,25,-7,-15,67,6,17,2
54,0,-4,-15,122,14,20,2
71,56,-15,-15,35,2,24,2
16,0,-5,-15,13,4,21,2
60,46,-14,-14,29,2,28,2
45,0,-8,-14,34,7,25,2
56,0,-6,-14,104,11,40,2
41,2,-8,-14,44,6,24,2
40,0,-5,-14,38,9,33,2
14,0,-14,-14,4,2,23,2
45,3,-4,-14,69,11,19,2
59,26,-8,-14,54,5,18,2
47,5,-7,-14,48,7,18,2
59,0,-5,-14,105,12,29,2
90,73,-4,-14,108,5,15,2
51,11,-6,-13,77,8,30,2
86,73,-13,-13,44,2,19,2
58,0,-4,-13,140,15,22,2
13,0,-13,-13,4,2,16,2
24,0,-8,-13,11,4,37,2
25,0,-5,-13,22,6,42,2
34,0,-9,-13,28,5,35,2
37,0,-4,-13,33,10,17,2
76,0,-4,-13,204,18,20,2
51,0,-5,-12,93,12,16,2
35,7,-5,-12,38,7,35,2
27,11,-8,-12,17,3,19,2
12,0,-12,-12,3,2,24,2
40,25,-7,-12,26,3,40,2
19,0,-6,-12,8,4,22,2
65,3,-5,-12,157,13,37,2
37,25,-12,-12,17,2,24,2
47,22,-6,-12,51,5,15,2
58,0,-7,-12,62,9,17,2
53,14,-6,-11,67,7,29,2
56,18,-4,-11,101,10,26,2
59,0,-6,-11,103,11,42,2
68,8,-5,-11,121,12,19,2
39,5,-4,-11,63,9,30,2
31,0,-3,-11,47,10,32,2
11,0,-11,-11,3,2,18,2
53,28,-6,-11,60,5,20,2
55,0,-6,-11,66,10,18,2
12,0,-6,-11,4,3,23,2
23,0,-6,-11,16,5,17,2
15,0,-5,-11,6,4,25,2
48,23,-5,-11,63,6,28,2
40,22,-5,-11,46,5,16,2
63,0,-4,-11,170,19,16,2
59,11,-3,-11,149,17,21,2
11,0,-11,-11,3,2,33,2
45,3,-5,-11,62,9,20,2
58,0,-6,-11,97,11,18,2
14,0,-5,-11,10,4,28,2
62,44,-5,-10,59,5,26,2
32,21,-5,-10,20,3,15,2
63,18,-5,-10,135,11,33,2
54,23,-4,-10,89,9,17,2
53,28,-5,-14,75,6,18,2
13,0,-13,-13,4,2,21,2
56,18,-4,-12,128,11,10,2
44,24,-2,-12,90,11,7,2
12,0,-12,-12,3,2,22,2
47,33,-7,-12,32,3,25,2
113,102,-12,-12,60,2,12,2
11,0,-11,-11,3,2,35,2
12,0,-4,-11,9,4,24,2
35,10,-4,-11,52,7,33,2
105,88,-6,-11,110,4,13,2
44,18,-5,-11,48,6,11,2
11,0,-6,-11,6,3,20,2
26,0,-7,-11,20,5,20,2
10,0,-3,-10,9,4,18,2
51,18,-5,-10,88,8,8,2
58,48,-10,-10,30,2,12,2
43,24,-3,-10,67,7,15,2
59,38,-7,-10,54,4,8,2
17,0,-8,-10,7,3,14,2
31,1,-2,-10,51,13,24,2
46,25,-4,-10,70,7,28,2
10,0,-10,-10,3,2,26,2
124,98,-3,-10,267,9,8,2
10,0,-10,-10,3,2,15,2
10,0,-5,-10,6,3,29,2
46,0,-3,-10,129,15,8,2
52,25,-2,-10,141,14,16,2
44,24,-4,-10,58,6,8,2
32,22,-9,-9,15,2,16,2
47,24,-5,-9,66,6,9,2
29,8,-4,-9,35,6,8,2
23,11,-2,-9,29,6,9,2
22,0,-5,-9,13,5,33,2
23,10,-6,-9,13,3,35,2
94,76,-5,-9,116,5,18,2
9,0,-9,-9,3,2,12,2
60,51,-9,-9,31,2,23,2
48,21,-4,-9,74,7,18,2
45,29,-3,-9,65,6,9,2
64,16,-4,-9,136,12,15,2
71,28,-3,-9,234,17,16,2
21,0,-3,-9,15,9,19,2
32,18,-7,-9,21,3,21,2
91,70,-3,-9,165,7,14,2
49,28,-3,-9,79,7,12,2
9,0,-9,-9,2,2,25,2
8,0,-8,-8,2,2,14,2
43,28,-3,-8,73,7,12,2
40,29,-6,-8,28,3,19,2
8,0,-8,-8,2,2,26,2
55,16,-4,-8,121,11,8,2
8,0,-8,-8,2,2,30,2
95,80,-2,-8,177,7,8,2
44,32,-2,-8,65,6,9,2
8,0,-8,-8,2,2,29,2
99,90,-3,-8,106,4,10,2
13,2,-4,-8,9,4,8,2
45,5,-4,-8,68,11,20,2
29,13,-3,-8,35,6,11,2
35,18,-4,-8,37,5,24,2
8,0,-8,-8,2,2,11,2
114,106,-8,-8,61,2,8,2
8,0,-8,-8,2,2,16,2
35,24,-3,-8,38,5,15,2
86,78,-4,-8,67,3,15,2
49,29,-3,-7,89,8,12,2
110,96,-5,-7,116,4,9,2
45,26,-1,-7,154,14,10,2
81,36,-3,-7,306,17,9,2
91,79,-4,-7,96,4,13,2
115,93,-3,-7,263,9,7,2
44,31,-2,-7,67,6,11,2
86,77,-5,-7,69,3,17,2
9,0,-2,-7,9,5,11,2
39,32,-7,-7,20,2,14,2
44,24,-4,-7,62,6,17,2
37,30,-7,-7,18,2,13,2
68,35,-3,-7,191,13,8,2
101,88,-3,-7,160,6,10,2
53,37,-4,-7,65,5,22,2
105,94,-6,-7,83,3,20,2
51,43,-2,-7,82,6,32,2
33,19,-3,-7,38,5,8,2
7,0,-7,-7,2,2,12,2
66,32,-3,-7,162,11,28,2
34,19,-2,-7,67,10,13,2
45,19,-3,-7,100,10,7,2
36,29,-7,-7,18,2,14,2
7,0,-7,-7,2,2,33,2
47,41,-7,-7,24,2,17,2
108,100,-2,-7,114,4,16,2
57,50,-7,-7,30,2,8,2
25,18,-7,-7,12,2,11,2
70,63,-3,-7,56,3,11,2
11,0,-5,-7,4,3,12,2
46,31,-3,-7,65,6,12,2
51,26,-2,-7,142,14,8,2
35,23,-3,-7,45,6,13,2
53,37,-3,-7,88,7,9,2
66,34,-4,-7,150,10,7,2
9.336106,0,-4.668053,-6.490692,3.383755556,3,13.5106383,2
63.92877,39.00176,-2.077250833,-6.459027,194.8330992,13,15.11904762,2
97.64587,86.32591,-5.65998,-6.443545,76.87256528,3,8.037974684,2
