@relation weka_TrainingData_CerData_include_clustered

@attribute Instance_number numeric
@attribute before numeric
@attribute after numeric
@attribute avg numeric
@attribute max numeric
@attribute distance numeric
@attribute second numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
95,53.1,0.7,-3.407143,-15.4,100.333331,15,cluster0
96,54,7.2,-9.36,-15.3,50.999999,6,cluster1
97,54,0,-4.153846,-15.3,121.999999,14,cluster0
98,54.899998,0,-4.990909,-15.299999,94.499997,12,cluster0
99,21.599998,0,-3.6,-15.299999,31.749999,7,cluster1
100,71.099998,55.799999,-15.299999,-15.299999,35.249999,2,cluster1
101,38.700001,0,-4.8375,-15.299999,45.75,9,cluster1
102,54.085278,38.935844,-7.574717,-15.046318,40.834246,3,cluster1
103,19.557924,0,-3.911585,-14.952943,23.895666,6,cluster1
104,16.224979,0,-5.408326,-14.761098,12.908406,4,cluster1
105,44.81276,21.996574,-2.852023,-14.735745,95.732173,9,cluster0
106,14.566312,0,-14.566312,-14.566312,4.046198,2,cluster1
107,45,0.7,-3.436364,-14.5,61.666665,12,cluster0
108,25.199999,8,-2.4,-14.5,11.694444,4,cluster1
109,56.699997,10.799999,-7.65,-14.400002,65.999998,7,cluster1
110,45,0,-7.5,-14.400002,33.999999,7,cluster1
111,46.8,0,-5.85,-14.400002,43.499999,9,cluster1
112,55.8,0,-5.58,-14.400001,103.999998,11,cluster0
113,19.8,5.4,-14.4,-14.4,7,2,cluster1
114,56.699997,0,-9.45,-14.4,55.499999,7,cluster1
115,41.399998,1.8,-7.92,-14.4,43.749999,6,cluster1
116,27.9,0,-6.975,-14.4,13.5,5,cluster1
117,37.8,0,-6.3,-14.4,29.25,7,cluster1
118,70.2,3.6,-6.054545,-14.4,100.999999,12,cluster0
119,22.5,0,-5.625,-14.4,18.25,5,cluster1
120,39.6,0,-4.95,-14.4,38,9,cluster1
121,43.199997,0,-6.171428,-14.399999,55.749998,8,cluster1
122,44.41086,9.529203,-3.554522,-14.104044,43.401502,8,cluster6
123,52.95686,28.129389,-4.965494,-13.834688,75.333701,6,cluster0
124,13.5,0,-13.5,-13.5,3.75,2,cluster1
125,24.3,0,-12.15,-13.5,10.5,3,cluster1
126,59.399998,26.099998,-8.325,-13.5,54.499998,5,cluster1
127,50.399998,26.099998,-8.1,-13.5,41.999998,4,cluster1
128,45,0,-7.5,-13.5,49.499999,7,cluster1
129,46.8,4.5,-7.05,-13.5,47.749998,7,cluster1
130,54,0,-6.75,-13.5,61.499999,9,cluster1
131,74.7,0,-6.225,-13.5,156.999997,13,cluster0
132,58.5,0,-5.318182,-13.5,104.749998,12,cluster0
133,16.199999,2.7,-13.499999,-13.499999,5.25,2,cluster1
134,71.099998,0,-4.182353,-13.499999,208.999992,18,cluster0
135,54,0,-6,-13.499998,76.999999,10,cluster0
136,51.3,10.799999,-5.785714,-13.499998,76.999998,8,cluster0
137,44.1,13.5,-4.371429,-13.499998,67.999999,8,cluster0
138,57.6,0,-3.84,-13.499998,143.749997,16,cluster0
139,69.940216,0,-3.885568,-13.008604,239.236552,19,cluster0
140,12.99998,0,-12.99998,-12.99998,3.611106,2,cluster1
141,53.50602,0,-3.821859,-12.847498,129.687355,15,cluster0
142,26.099998,2.7,-4.68,-12.7,19.444444,6,cluster1
143,59.399998,27,-5.4,-12.600002,87.499997,7,cluster0
144,57.6,0,-7.2,-12.600002,66.499999,9,cluster0
145,41.399998,0.9,-6.75,-12.6,49.749999,7,cluster1
146,12.6,0,-12.6,-12.6,3.5,2,cluster1
147,45,0,-9,-12.6,39.25,6,cluster1
148,51.3,25.199999,-8.7,-12.6,40.75,4,cluster1
149,24.3,0,-8.1,-12.6,10.75,4,cluster1
150,40.5,19.8,-6.9,-12.6,30.75,4,cluster1
151,28.8,1.8,-6.75,-12.6,23.249999,5,cluster1
152,70.2,44.1,-5.22,-12.6,86.249999,6,cluster0
153,25.199999,0,-5.04,-12.6,22.249999,6,cluster1
154,12.599999,0,-12.599999,-12.599999,3.5,2,cluster1
155,34.2,0,-8.55,-12.599999,28,5,cluster1
156,56.699997,31.5,-6.299999,-12.599998,57.249999,5,cluster1
157,30.599998,9.9,-10.349999,-12.599998,16.249999,3,cluster1
158,20.699999,0.9,-1.35,-12.599998,18.249999,3,cluster5
159,75.6,0,-4.447059,-12.599997,204.249996,18,cluster0
160,40.44772,1.636241,-6.46858,-12.456591,28.925099,7,cluster1
161,25.199999,8.9,-1.8,-11.799999,20.972222,6,cluster6
162,11.736733,0,-11.736733,-11.736733,3.260204,2,cluster1
163,54.899998,13.5,-8.28,-11.700002,58.749998,6,cluster1
164,55.8,3.6,-3.070588,-11.700002,146.499996,18,cluster0
165,51.3,0,-4.663636,-11.700001,92.749998,12,cluster0
166,35.099998,7.2,-4.65,-11.700001,38.499999,7,cluster6
167,25.199999,0,-6.3,-11.7,20,5,cluster1
168,45,33.3,-11.7,-11.7,21.75,2,cluster1
169,39.6,25.199999,-7.2,-11.7,25.75,3,cluster1
170,53.1,0,-6.6375,-11.7,56.75,9,cluster0
171,18.9,0,-6.3,-11.7,7.75,4,cluster5
172,34.2,2.7,-5.25,-11.7,32.749999,7,cluster6
173,63,0,-5.25,-11.7,111.25,13,cluster0
174,25.199999,0,-3.15,-11.7,39.999999,9,cluster6
175,36.899998,25.199999,-11.699999,-11.699999,17.249999,2,cluster1
176,29.699999,9,-6.9,-11.699999,19,4,cluster1
177,46.8,21.599998,-6.300001,-11.699999,50.999999,5,cluster1
178,16.199999,0,-5.4,-11.699999,6.25,4,cluster5
179,22.5,0.9,-3.6,-11.699999,21.749999,7,cluster6
180,52.199997,6.3,-4.59,-11.699998,76.249997,11,cluster0
181,57.599998,0,-7.2,-11.699997,62.499998,9,cluster0
182,46.793354,33.029278,-6.882038,-11.694607,31.922605,3,cluster1
183,11.920155,0,-3.973385,-11.031256,9.484594,4,cluster5
184,35.202538,0,-3.520254,-10.814586,65.250975,11,cluster6
185,63,38.700001,-3.471428,-10.800003,101.749998,8,cluster0
186,53.099998,14.4,-6.45,-10.800001,66.749999,7,cluster0
187,55.799999,18,-4.2,-10.800001,100.749998,10,cluster0
188,42.3,13.5,-7.2,-10.800001,37.749999,5,cluster1
189,58.5,0,-5.85,-10.800001,103,11,cluster0
190,27.9,0,-5.58,-10.800001,22.749999,6,cluster6
191,36.899998,0,-5.271428,-10.800001,39.749999,8,cluster6
192,37.8,11.7,-4.35,-10.800001,45.249999,7,cluster6
193,38.7,5.4,-4.1625,-10.800001,62.749998,9,cluster6
194,71.099998,0,-4.74,-10.8,179.499996,16,cluster0
195,10.8,0,-10.8,-10.8,3,2,cluster1
196,53.1,0,-6.6375,-10.8,70.249999,9,cluster0
197,53.1,27.9,-6.3,-10.8,59.749999,5,cluster0
198,54.899998,0,-6.1,-10.8,66.499999,10,cluster0
199,29.699999,0,-5.94,-10.8,24.5,6,cluster6
200,11.7,0,-5.85,-10.8,3.5,3,cluster5
201,55.8,0,-5.58,-10.8,97.749999,11,cluster0
202,15.3,0,-5.1,-10.8,6,4,cluster5
203,47.699997,22.5,-5.039999,-10.8,63.499998,6,cluster6
204,20.699999,6.3,-4.8,-10.8,14.5,4,cluster5
205,39.6,21.599998,-4.5,-10.8,46.499999,5,cluster6
206,31.5,9,-4.5,-10.8,39.5,6,cluster6
207,44.1,0,-3.15,-10.8,84.499999,15,cluster0
208,59.4,10.8,-3.0375,-10.8,149,17,cluster0
209,47.7,23.4,-2.7,-10.8,105.25,10,cluster0
210,39.6,4.5,-2.507143,-10.8,95.249999,15,cluster0
211,45,2.7,-5.2875,-10.799999,61.749998,9,cluster6
212,54.899998,0,-3.921428,-10.799999,104.749998,15,cluster0
213,12.599999,1.8,-10.799999,-10.799999,4,2,cluster1
214,25.199999,0,-6.3,-10.799999,13.5,5,cluster1
215,57.6,0,-5.76,-10.799999,96.999999,11,cluster0
216,15.299999,0,-5.1,-10.799999,10.999999,4,cluster5
217,13.5,0,-4.5,-10.799999,10.249999,4,cluster5
218,13.190325,0,-1.465592,-10.625371,30.497417,10,cluster6
219,26.378181,0,-6.594545,-10.528163,20.1197,5,cluster1
220,51.092594,17.683558,-4.772719,-10.335652,88.384024,8,cluster0
221,58.389683,48.097145,-10.292538,-10.292538,29.579674,2,cluster1
222,58.628826,37.860043,-6.922928,-10.212708,54.397125,4,cluster0
223,12.336471,0,-2.056078,-10.087855,9.355253,7,cluster5
224,33.211414,0,-4.151427,-10.081955,49.213173,9,cluster6
225,124.39581,98.49876,-3.237131,-9.90775,267.401647,9,cluster0
226,56.699997,7.2,-2.75,-9.900003,155.499997,19,cluster0
227,45,13.5,-5.25,-9.900002,58.749999,7,cluster6
228,45.899998,13.5,-4.628571,-9.900002,67.749999,8,cluster6
229,52.199997,26.099998,-4.35,-9.900002,77.749997,7,cluster6
230,43.199997,20.699999,-7.499999,-9.900001,36.999999,4,cluster1
231,54,5.4,-6.942857,-9.900001,59.5,8,cluster0
232,49.5,0,-4.95,-9.900001,81.249998,11,cluster0
233,63,0.9,-3.88125,-9.900001,181.499996,17,cluster0
234,20.699999,7.2,-4.5,-9.900001,18,4,cluster5
235,9.9,0,-9.9,-9.9,2.75,2,cluster1
236,46.8,0,-6.685714,-9.9,51.499999,8,cluster6
237,20.699999,9.9,-5.399999,-9.9,11.499999,3,cluster5
238,49.5,9,-5.0625,-9.9,76.999998,9,cluster6
239,63.9,0,-4.915385,-9.9,119.75,14,cluster0
240,68.4,0,-4.885714,-9.9,168.749996,15,cluster0
241,14.4,0,-4.8,-9.9,5.5,4,cluster5
242,23.4,0,-4.68,-9.9,21.999999,6,cluster6
243,44.1,11.7,-4.628571,-9.9,62.249999,8,cluster6
244,43.199997,20.699999,-4.5,-9.9,54.249999,6,cluster6
245,35.1,0,-4.3875,-9.9,48.249999,9,cluster6
246,56.7,9,-4.336364,-9.9,102,12,cluster0
247,17.1,0,-4.275,-9.9,15.249999,5,cluster5
248,17.1,0.9,-4.275,-9.9,10.25,5,cluster5
249,41.399998,0,-4.14,-9.9,73.499999,11,cluster6
250,45,6.3,-3.87,-9.9,79.249999,11,cluster6
251,65.7,0,-3.864706,-9.9,173.999997,18,cluster0
252,15.299999,0,-3.825,-9.9,13,5,cluster5
253,32.399998,0,-3.6,-9.9,36.749999,10,cluster6
254,41.399998,3.6,-3.436363,-9.9,73.249999,12,cluster6
255,46.8,0,-3.342857,-9.9,88.999998,15,cluster0
256,63.899998,7.2,-3.335294,-9.9,201.749998,18,cluster0
257,55.8,33.3,-3.214286,-9.9,98.249999,8,cluster0
258,62.1,1.8,-3.105,-9.9,171.499997,21,cluster0
259,44.1,0,-2.94,-9.9,100.749997,16,cluster0
260,27,0.9,-2.9,-9.9,49.749999,10,cluster6
261,11.7,0,-1.8,-9.9,52.249999,4,cluster6
262,25.199999,0,-6.3,-9.9,16,5,cluster1
263,51.299999,0,-4.275,-9.9,106.499998,13,cluster0
264,15.299999,3.6,-3.9,-9.9,10.5,4,cluster5
265,26.099998,0,-3.728571,-9.9,20.499999,8,cluster6
266,32.399998,0,-5.4,-9.899999,31.499999,7,cluster6
267,25.199999,0.9,-4.86,-9.899999,18.999999,6,cluster6
268,29.699999,0,-4.242857,-9.899999,28.999999,8,cluster6
269,30.599998,0,-4.371428,-9.899999,41.499998,8,cluster6
