@relation weka_TrainingData_driverHabit_jee_df_clustered

@attribute Instance_number numeric
@attribute 56.270603 numeric
@attribute 0 numeric
@attribute -28.1353015 numeric
@attribute -46.072006 numeric
@attribute 28.4285025 numeric
@attribute 3 numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
89,52.315376,44.287132,-8.028244,-8.028244,26.83403,2,cluster2
90,12.599999,1.8,-3.6,-7.91,9.427777,4,cluster2
91,28.845318,13.345288,-3.100006,-7.857321,35.368839,6,cluster2
92,34.80718,18.46547,-4.085427,-7.85397,36.973856,5,cluster2
93,114.05559,106.40858,-7.64701,-7.64701,61.240047,2,cluster2
94,7.611363,0,-7.611363,-7.611363,2.114267,2,cluster1
95,60.37998,0,-6.037998,-7.50939,46.513305,11,cluster1
96,86.26415,77.51687,-4.37364,-7.50564,67.372092,3,cluster2
97,81.1344,35.845646,-2.830547,-7.457497,306.168701,17,cluster2
98,86.32591,76.75977,-4.78307,-7.41654,68.683886,3,cluster2
99,9.319723,0,-2.329931,-7.404987,9.030797,5,cluster1
100,39.222275,31.87206,-7.350215,-7.350215,19.748426,2,cluster2
101,36.79445,0,-3.066204,-7.330852,74.124704,13,cluster1
102,43.88166,24.326036,-3.911125,-7.321507,61.692456,6,cluster2
103,68.00324,34.73986,-2.771948,-7.26638,191.220003,13,cluster2
104,101.109085,88.454865,-2.530844,-7.201614,159.631882,6,cluster2
105,51.132813,42.66527,-1.693509,-7.107714,81.659743,6,cluster2
106,33.423145,19.466623,-3.48913,-7.09598,38.32038,5,cluster2
107,34.18468,0,-2.441763,-6.872414,74.512081,15,cluster1
108,33.61112,18.539019,-1.674678,-6.841185,66.926779,10,cluster2
109,45.352074,18.955126,-2.932994,-6.840002,99.986004,10,cluster2
110,49.976513,0,-3.331768,-6.818034,113.817668,16,cluster1
111,62.01293,0,-3.647819,-6.813944,169.35956,18,cluster1
112,35.614735,28.80399,-6.810745,-6.810745,17.89409,2,cluster2
113,6.786606,0,-6.786606,-6.786606,1.885168,2,cluster1
114,107.59379,100.24881,-2.448327,-6.758135,113.595102,4,cluster2
115,56.864082,50.137188,-6.726894,-6.726894,29.722575,2,cluster2
116,24.709999,18,-6.709999,-6.709999,11.863889,2,cluster2
117,69.75125,62.8968,-3.427225,-6.708005,56.181349,3,cluster2
118,8.474238,0,-1.210605,-6.659931,14.645409,8,cluster1
119,45.895836,31.43541,-2.892085,-6.587546,64.766229,6,cluster2
120,35.48325,22.938274,-2.508995,-6.570849,45.032816,6,cluster2
121,52.683212,36.742924,-2.656715,-6.56833,87.751249,7,cluster2
122,66.34406,33.80161,-3.615828,-6.546448,149.855444,10,cluster2
123,9.336106,0,-4.668053,-6.490692,3.383756,3,cluster1
124,63.92877,39.00176,-2.077251,-6.459027,194.833099,13,cluster2
125,97.64587,86.32591,-5.65998,-6.443545,76.872565,3,cluster2
126,6.407719,0,-6.407719,-6.407719,1.779922,2,cluster1
127,55.651867,34.661896,-3.498328,-6.404674,86.934824,7,cluster2
128,42.097603,33.20371,-2.223473,-6.393444,52.849573,5,cluster2
129,37.10968,30.830788,-6.278892,-6.278892,18.872352,2,cluster2
130,10.037481,0,-5.01874,-6.15051,4.496664,3,cluster1
131,112.70961,103.731834,-4.488888,-6.14532,89.723815,3,cluster2
132,11.692166,0,-2.923042,-6.135804,7.674488,5,cluster1
133,61.35638,55.119564,-3.118408,-6.118266,49.364937,3,cluster2
134,57.451035,49.865265,-2.52859,-6.019802,60.903935,4,cluster2
