@relation weka_test_park

@attribute before numeric
@attribute after numeric
@attribute avg numeric
@attribute max numeric
@attribute dis numeric
@attribute sec numeric
@attribute cle numeric

@data
26.099998,2.7,-4.68,-12.7,19.444444,6,15.875
28.8,0,-4.114286,-12.600001,21.749999,8,28.863636
45,0,-9,-12.6,39.25,6,9.921875
28.8,1.8,-6.75,-12.6,23.249999,5,11.892169
40.5,19.8,-6.9,-12.6,30.75,4,31.75
28.8,1.8,-6.75,-12.6,23.249999,5,14.767442
27.9,0,-5.58,-12.599999,24.749999,6,7.516631
15.299999,0,-5.1,-12.599999,11.749999,4,9.071429
30.599998,9.9,-10.349999,-12.599998,16.249999,3,18.676471
25.199999,8.9,-1.8,-11.799999,20.972222,6,9.621212
32.399998,0,-8.099999,-11.700001,24.499999,5,12.45098
53.099998,19.799999,-4.1625,-11.700001,97.499997,9,22.678571
22.5,9,-6.75,-11.700001,11.75,3,10.079365
11.7,0,-11.7,-11.7,3.25,2,16.710526
53.1,0,-6.6375,-11.7,56.75,9,7.743902
53.1,11.7,-5.175,-11.7,102.25,9,18.142857
53.1,0,-6.6375,-11.7,56.75,9,8.943662
11.7,0,-11.7,-11.7,3.25,2,11.140351
46.8,0,-5.85,-11.699999,63.249998,9,21.166667
52.199997,6.3,-4.59,-11.699998,76.249997,11,8.141026
53.099998,14.4,-6.45,-10.800001,66.749999,7,14.431818
53.099998,14.4,-6.45,-10.800001,66.749999,7,10.583333
58.5,0,-5.85,-10.800001,103,11,7.9375
46.8,0,-5.2,-10.800001,63.249999,10,10.409836
10.8,0,-10.8,-10.8,3,2,8.466667
81,0,-6.230769,-10.8,157.249998,14,7.470588
11.7,0,-5.85,-10.8,3.5,3,21.896552
28.8,4.5,-4.86,-10.8,27.999999,6,25.4
39.6,21.599998,-4.5,-10.8,46.499999,5,11.545455
39.6,4.5,-2.507143,-10.8,95.249999,15,35.277778
53.1,0,-6.6375,-10.8,70.249999,9,24.423077
64.799995,37.799999,-5.399999,-10.799999,88.499997,6,33.421053
12.599999,1.8,-10.799999,-10.799999,4,2,13.229167
62.1,44,-4.5,-9.900003,58.694444,5,8.581081
45,13.5,-5.25,-9.900002,58.749999,7,11.339286
54,22.5,-3.9375,-9.900002,89.249999,9,20.483871
53.099998,18.9,-3.42,-9.900002,119.999997,11,8.69863
