56,0,-28,-46,28,3,1
41,0,-41,-41,11,2,1
46,0,-8,-38,67,7,1
64,0,-5,-30,161,13,1
32,0,-11,-29,26,4,1
31,0,-10,-28,25,4,1
68,0,-4,-28,224,19,1
29,0,-5,-27,48,7,1
46,0,-9,-27,47,6,1
26,0,-26,-26,7,2,1
31,0,-2,-25,102,14,1
29,0,-3,-24,69,10,1
26,0,-9,-24,21,4,1
32,0,-5,-24,46,7,1
24,0,-24,-24,7,2,1
31,0,-2,-24,123,17,1
36,0,-9,-24,34,5,1
24,0,-6,-23,26,5,1
22,0,-22,-22,6,2,1
49,0,-6,-22,81,9,1
40,0,-3,-21,109,14,1
27,0,-2,-19,71,12,1
20,0,-5,-19,22,5,1
56,0,-6,-19,57,10,1
22,0,-4,-18,28,6,1
18,0,-18,-18,5,2,1
61,0,-10,-18,62,7,1
24,0,-12,-18,12,3,1
21,0,-7,-18,16,4,1
21,0,-3,-18,42,9,1
18,0,-18,-18,5,2,1
56,0,-5,-18,126,13,1
24,0,-8,-17,14,4,1
28,0,-6,-17,26,6,1
30,0,-8,-17,30,5,1
19,0,-3,-17,30,7,1
18,0,-4,-17,19,5,1
16,0,-16,-16,4,2,1
16,0,-16,-16,4,2,1
17,0,-6,-16,14,4,1
16,0,-16,-16,4,2,1
19,0,-9,-16,10,3,1
16,0,-8,-15,4,3,1
99,83,-8,-15,74,3,1
61,0,-6,-15,117,12,1
20,0,-4,-15,24,6,1
15,0,-15,-15,4,2,1
37,0,-4,-14,74,10,1
44,10,-4,-14,43,8,1
53,28,-5,-14,75,6,1
70,0,-4,-13,239,19,1
13,0,-13,-13,4,2,1
54,0,-4,-13,130,15,1
40,2,-6,-12,29,7,1
14,0,-2,-12,30,9,1
44,24,-2,-12,90,11,1
47,33,-7,-12,32,3,1
113,102,-12,-12,60,2,1
11,0,-11,-11,3,2,1
12,0,-4,-11,9,4,1
35,10,-4,-11,52,7,1
105,88,-6,-11,110,4,1
44,18,-5,-11,48,6,1
59,38,-7,-10,54,4,1
17,0,-8,-10,7,3,1
31,1,-2,-10,51,13,1
46,25,-4,-10,70,7,1
10,0,-10,-10,3,2,1
