@relation weka_test_jee_clustered

@attribute Instance_number numeric
@attribute before numeric
@attribute after numeric
@attribute avg numeric
@attribute max numeric
@attribute dis numeric
@attribute sec numeric
@attribute cle numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
79,11.736733,0,-11.736733,-11.736733,3.260204,2,21.896552,cluster2
80,46.793354,33.029278,-6.882038,-11.694607,31.922605,3,25.4,cluster3
81,113.284645,101.68987,-11.594775,-11.594775,59.715143,2,11.545455,cluster4
82,11.054029,0,-11.054029,-11.054029,3.070564,2,35.277778,cluster2
83,11.920155,0,-3.973385,-11.031256,9.484594,4,24.423077,cluster2
84,35.489216,9.592838,-4.316063,-10.93524,51.586605,7,33.421053,cluster6
85,105.273674,88.406784,-5.622297,-10.862316,110.074595,4,13.229167,cluster4
86,35.202538,0,-3.520254,-10.814586,65.250975,11,8.581081,cluster5
87,44.317448,18.129322,-5.237625,-10.789324,47.569068,6,11.339286,cluster3
88,11.372721,0,-5.686361,-10.669643,6.122879,3,20.483871,cluster2
89,13.190325,0,-1.465592,-10.625371,30.497417,10,8.69863,cluster5
90,26.378181,0,-6.594545,-10.528163,20.1197,5,19.84375,cluster2
91,10.485276,0,-3.495092,-10.430183,8.717366,4,17.638889,cluster2
92,51.092594,17.683558,-4.772719,-10.335652,88.384024,8,7.650602,cluster3
93,58.389683,48.097145,-10.292538,-10.292538,29.579674,2,11.759259,cluster3
94,43.384808,23.547411,-3.306233,-10.24812,67.459606,7,15.487805,cluster3
95,58.628826,37.860043,-6.922928,-10.212708,54.397125,4,8.355263,cluster3
96,16.636593,0,-8.318297,-10.194801,7.453165,3,13.804348,cluster2
97,30.672564,1.139125,-2.46112,-10.183415,50.595482,13,23.518519,cluster0
98,46.489197,25.021406,-3.577965,-10.153488,70.30017,7,27.608696,cluster3
99,12.336471,0,-2.056078,-10.087855,9.355253,7,7.383721,cluster2
100,33.211414,0,-4.151427,-10.081955,49.213173,9,17.162162,cluster5
101,9.970903,0,-9.970903,-9.970903,2.769695,2,26.458333,cluster2
102,124.39581,98.49876,-3.237131,-9.90775,267.401647,9,7.839506,cluster4
103,9.831779,0,-9.831779,-9.831779,2.73105,2,14.767442,cluster2
104,10.111436,0,-5.055718,-9.699784,5.503117,3,28.863636,cluster2
105,45.53665,35.879997,-9.656653,-9.656653,22.615735,2,8.246753,cluster3
106,46.4304,0,-3.316457,-9.63472,129.143199,15,8.037975,cluster5
107,52.019093,24.674793,-2.103408,-9.61125,140.739774,14,16.282051,cluster0
108,43.97848,23.537228,-4.08825,-9.576235,58.206213,6,7.559524,cluster3
109,66.51279,0,-4.750914,-9.522142,138.88949,15,12.211538,cluster5
110,31.774822,22.362913,-9.411909,-9.411909,15.03826,2,15.875,cluster3
111,11.690152,0,-1.670022,-9.397944,20.181049,8,9.769231,cluster2
112,47.29868,23.936226,-4.672491,-9.370847,65.76739,6,9.338235,cluster3
113,29.080652,8.277904,-4.16055,-9.275849,34.679109,6,8.246753,cluster1
114,22.71,10.799999,-2.382,-9.21,29.188889,6,9.202899,cluster1
115,21.530313,0.371942,-5.289593,-9.201729,12.843127,5,33.421053,cluster6
116,22.561317,10.227487,-6.166915,-9.184456,12.823796,3,35.277778,cluster6
117,94.113754,75.63709,-4.619166,-9.17896,115.960401,5,18.142857,cluster4
118,9.140652,0,-9.140652,-9.140652,2.53907,2,11.545455,cluster2
119,60.14342,51.049175,-9.094245,-9.094245,30.886832,2,22.678571,cluster3
120,48.201466,21.436512,-4.460826,-9.080208,74.162068,7,17.638889,cluster3
121,44.60516,28.589994,-3.203033,-9.03897,65.478134,6,8.581081,cluster3
122,63.738285,16.48811,-4.29547,-9.028339,136.321226,12,15.119048,cluster0
