@relation weka_habit_test_clustered

@attribute Instance_number numeric
@attribute before numeric
@attribute after numeric
@attribute avg numeric
@attribute max numeric
@attribute dis numeric
@attribute sec numeric
@attribute cle numeric
@attribute Cluster {cluster0,cluster1,cluster2,cluster3,cluster4,cluster5,cluster6}

@data
83,20.699999,14.4,-6.299999,-6.299999,9.75,2,22.029462,cluster3
84,8.099999,1.8,-6.299999,-6.299999,2.75,2,3.58416,cluster1
85,59.399998,53.1,-6.299998,-6.299998,31.249999,2,3.840496,cluster3
86,74.7,0,-6.225,-13.5,156.999997,13,13.165684,cluster5
87,43.199997,0,-6.171428,-16.2,56.999998,8,9.684112,cluster5
88,70.2,3.6,-6.054545,-14.4,100.999999,12,11.751955,cluster0
89,38.700001,20.699999,-6.000001,-9.899998,31.749999,4,7.267741,cluster3
90,54,0,-6,-13.499998,76.999999,10,4.283237,cluster5
91,22.5,4.5,-6,-9.900001,12.75,4,16.710526,cluster1
92,29.699999,0,-5.94,-10.8,24.5,6,9.754122,cluster2
93,76.5,0,-5.884615,-9,153.75,14,8.0206,cluster5
94,24.3,12.599999,-5.850001,-7.200001,15.75,3,7.381951,cluster3
95,46.8,0,-5.85,-11.699999,63.249998,9,3.773916,cluster5
96,28.8,17.1,-5.85,-6.3,19,3,4.492822,cluster3
97,54,42.3,-5.85,-9,39.25,3,3.912672,cluster3
98,11.7,0,-5.85,-6.3,5,3,11.223451,cluster2
99,45,4.5,-5.785714,-9.9,47.5,8,11.678365,cluster3
100,57.6,0,-5.76,-18,89.999997,11,4.51222,cluster5
101,37.8,15.299999,-5.625,-7.2,37.499999,5,16.488551,cluster3
102,54.899998,32.399998,-5.625,-7.200001,62.499998,5,5.702569,cluster3
103,22.5,0,-5.625,-14.4,18.25,5,10.241935,cluster2
104,27.9,0,-5.58,-20.7,12.75,6,6.838419,cluster2
105,27.9,0,-5.58,-12.599999,24.749999,6,4.734359,cluster2
106,33.299999,0,-5.55,-9.9,25.249999,7,3.69186,cluster5
107,54.899998,0,-5.49,-17.099999,94.999997,11,7.341331,cluster5
108,48.6,43.199997,-5.400003,-5.400003,25.499999,2,7.215909,cluster3
109,31.5,26.099998,-5.400002,-5.400002,15.999999,2,10.162465,cluster3
110,42.3,36.899998,-5.400002,-5.400002,21.999999,2,11.154776,cluster3
111,70.199997,64.799995,-5.400002,-5.400002,37.499998,2,13.092094,cluster3
112,40.5,29.699999,-5.400001,-6.299999,29,3,21.896552,cluster3
113,23.4,12.599999,-5.4,-8.1,15.749999,3,7.743902,cluster3
114,28.8,12.599999,-5.4,-8.1,24.749999,4,5.246183,cluster3
115,33.3,6.3,-5.4,-9,31.999999,6,3.534187,cluster1
116,54,0,-5.4,-9,96.999998,11,2.885825,cluster5
117,48.6,0,-5.4,-9.899999,58.999999,10,15.9581,cluster5
118,32.399998,21.599998,-5.4,-7.199999,21.999999,3,3.993711,cluster3
119,18,1.8,-5.4,-8.999999,10,4,8.141026,cluster1
120,9.9,4.5,-5.4,-5.4,4,2,4.669118,cluster1
121,54,48.6,-5.4,-5.4,28.5,2,3.680396,cluster3
122,29.699999,8.099999,-5.4,-7.2,26.249999,5,7.839506,cluster1
123,56.699997,8.099999,-5.4,-16.200001,91.499997,10,5.055391,cluster0
124,20.699999,4.5,-5.4,-7.199999,12.75,4,3.35626,cluster1
